host_id,host_since,host_location,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
1466919,2011-12-03,"Paris, Ile-de-France, France",0,1,1,0
10328771,2013-11-29,"Paris, Ile-de-France, France",0,1,1,1
19252768,2014-07-31,"Paris, Ile-de-France, France",0,1,1,0
10668311,2013-12-17,"Paris, Ile-de-France, France",0,1,1,1
24837558,2014-12-14,"Paris, Ile-de-France, France",0,1,1,0
505535,2011-04-13,"Paris, Ile-de-France, France",0,1,1,1
8053690,2013-08-09,"Paris, Ile-de-France, France",0,1,1,1
5924709,2013-04-14,"Paris, Ile-de-France, France",0,1,1,1
35812762,2015-06-14,"Paris, Ile-de-France, France",0,1,1,1
20833291,2014-09-02,"Paris, Ile-de-France, France",0,1,1,1
35014275,2015-06-04,"Paris, Ile-de-France, France",0,1,1,1
19939276,2014-08-13,"Paris, Ile-de-France, France",0,1,1,1
18264466,2014-07-17,"Paris, Ile-de-France, France",0,1,1,0
10121410,2013-11-19,"Paris, Ile-de-France, France",0,1,1,1
52785202,2015-12-30,"Paris, Ile-de-France, France",0,1,1,1
34678556,2015-05-31,"Paris, Ile-de-France, France",0,1,1,0
28504056,2015-02-28,"Paris, Ile-de-France, France",0,1,1,1
63894099,2016-03-21,"Paris, Ile-de-France, France",0,1,1,0
6056099,2013-04-23,"Paris, Ile-de-France, France",0,1,1,1
23193463,2014-10-31,"Paris, Ile-de-France, France",0,1,1,1
16159360,2014-05-30,"Paris, Ile-de-France, France",0,1,1,0
4177948,2012-11-18,"Paris, Ile-de-France, France",0,1,1,1
20256520,2014-08-19,"Paris, Ile-de-France, France",0,1,1,1
4674253,2013-01-12,"Paris, Ile-de-France, France",0,1,1,1
11058384,2014-01-06,"Paris, Ile-de-France, France",0,1,1,1
10093004,2013-11-18,"Paris, Ile-de-France, France",0,1,1,0
9581424,2013-10-22,"Paris, Ile-de-France, France",0,1,1,0
6848400,2013-06-11,"Paris, Ile-de-France, France",0,1,1,0
4928414,2013-02-01,"Paris, Ile-de-France, France",0,1,1,0
17608843,2014-07-03,"Paris, Ile-de-France, France",0,1,1,1
38580483,2015-07-15,"Paris, Ile-de-France, France",0,1,1,1
86723201,2016-07-29,"Paris, Ile-de-France, France",0,1,1,1
29469689,2015-03-16,"Paris, Ile-de-France, France",0,1,1,1
29650258,2015-03-19,"Paris, Ile-de-France, France",0,1,1,1
28324675,2015-02-25,"Paris, Ile-de-France, France",0,1,1,1
10546810,2016-10-18,"Paris, Ile-de-France, France",0,1,1,0
11042692,2014-01-05,"Paris, Ile-de-France, France",0,1,1,1
