listing_id,host_id,neighbourhood,city,latitude,longitude,location_id,property_id
281420,1466919,Buttes-Montmartre,Paris,48.88668,2.33343,1,1
3705183,10328771,Buttes-Montmartre,Paris,48.88617,2.34515,2,2
4082273,19252768,Elysee,Paris,48.88112,2.31712,3,3
4797344,10668311,Vaugirard,Paris,48.84571,2.30584,4,4
4823489,24837558,Passy,Paris,48.855,2.26979,5,5
4898654,505535,Temple,Paris,48.86428,2.3537,6,6
6021700,8053690,Popincourt,Paris,48.86384,2.37101,7,7
6945740,5924709,Popincourt,Paris,48.86043,2.37842,8,8
7491966,35812762,Buttes-Chaumont,Paris,48.87871,2.37489,9,9
7849932,20833291,Opera,Paris,48.8779,2.33122,10,10
7995091,35014275,Gobelins,Paris,48.82296,2.34667,11,11
9011901,19939276,Hotel-de-Ville,Paris,48.85681,2.35678,12,12
9880847,18264466,Pantheon,Paris,48.83855,2.35064,13,13
9898855,10121410,Enclos-St-Laurent,Paris,48.87437,2.36208,14,14
10266213,52785202,Elysee,Paris,48.88074,2.32384,15,15
11643413,34678556,Popincourt,Paris,48.87064,2.37499,16,16
11764434,28504056,Batignolles-Monceau,Paris,48.88423,2.31339,17,17
11963112,63894099,Popincourt,Paris,48.85434,2.37293,18,18
11985909,6056099,Enclos-St-Laurent,Paris,48.8734,2.36972,19,19
12331902,23193463,Gobelins,Paris,48.83767,2.35554,20,20
12723768,16159360,Batignolles-Monceau,Paris,48.88389,2.29211,21,21
13013700,4177948,Opera,Paris,48.87842,2.33371,22,22
13135280,20256520,Opera,Paris,48.87833,2.33197,23,23
13147280,4674253,Luxembourg,Paris,48.84477,2.32525,24,24
13182340,11058384,Temple,Paris,48.86875,2.35471,25,25
13331656,10093004,Reuilly,Paris,48.84614,2.40083,26,26
13698157,9581424,Batignolles-Monceau,Paris,48.88501,2.31808,27,27
13838085,6848400,Enclos-St-Laurent,Paris,48.87511,2.35627,28,28
13857048,4928414,Buttes-Montmartre,Paris,48.8956,2.33987,29,29
13893805,17608843,Buttes-Montmartre,Paris,48.88575,2.34633,30,30
14079899,38580483,Vaugirard,Paris,48.85022,2.29148,31,31
14248895,86723201,Luxembourg,Paris,48.84695,2.3188,32,32
14598274,29469689,Temple,Paris,48.86716,2.36302,33,33
15299395,29650258,Gobelins,Paris,48.83537,2.34676,34,34
15473721,28324675,Pantheon,Paris,48.85115,2.34428,35,35
15641938,10546810,Vaugirard,Paris,48.83777,2.29152,36,36
15741295,11042692,Opera,Paris,48.88261,2.3312,37,37
15805091,102275177,Pantheon,Paris,48.83985,2.34274,38,38
16170017,4663772,Passy,Paris,48.84116,2.26235,39,39
16371887,15704938,Popincourt,Paris,48.86215,2.36991,40,40
17331403,27805264,Popincourt,Paris,48.86359,2.36988,41,41
17551702,31843467,Menilmontant,Paris,48.87197,2.40102,42,42
17680112,2439549,Enclos-St-Laurent,Paris,48.88211,2.35177,43,43
17843771,29885525,Buttes-Montmartre,Paris,48.89374,2.33416,44,44
18166061,7988011,Popincourt,Paris,48.86314,2.3789,45,45
18269125,15958484,Batignolles-Monceau,Paris,48.8896,2.32046,46,46
19322129,5218608,Pantheon,Paris,48.84011,2.35212,47,47
19444880,6813838,Popincourt,Paris,48.8582,2.38306,48,48
19929905,39907954,Vaugirard,Paris,48.84339,2.28348,49,49
19940449,12727022,Menilmontant,Paris,48.85899,2.39228,50,50
19944091,25126708,Buttes-Montmartre,Paris,48.8823,2.33789,51,51
19967211,135107100,Buttes-Montmartre,Paris,48.88328,2.34106,52,52
20202807,85055057,Observatoire,Paris,48.83106,2.33218,53,53
20860027,5096358,Popincourt,Paris,48.86849,2.37181,54,54
21038462,65489204,Enclos-St-Laurent,Paris,48.87478,2.35681,55,55
21156159,3635556,Enclos-St-Laurent,Paris,48.8723,2.37481,56,56
21231230,131820645,Buttes-Montmartre,Paris,48.89049,2.33268,57,57
21961806,20162025,Menilmontant,Paris,48.85697,2.39986,58,58
23636300,48646258,Buttes-Chaumont,Paris,48.87395,2.38474,59,59
23726864,63122696,Popincourt,Paris,48.85435,2.38653,60,60
25205911,10693645,Buttes-Montmartre,Paris,48.89408,2.34878,61,61
25439485,192032202,Popincourt,Paris,48.86688,2.38302,62,62
25969750,27142175,Reuilly,Paris,48.84998,2.38029,63,63
26114625,8079488,Opera,Paris,48.87849,2.34333,64,64
