neighbourhood,city,latitude,longitude,location_id
Buttes-Montmartre,Paris,48.88668,2.33343,1
Buttes-Montmartre,Paris,48.88617,2.34515,2
Elysee,Paris,48.88112,2.31712,3
Vaugirard,Paris,48.84571,2.30584,4
Passy,Paris,48.855,2.26979,5
Temple,Paris,48.86428,2.3537,6
Popincourt,Paris,48.86384,2.37101,7
Popincourt,Paris,48.86043,2.37842,8
Buttes-Chaumont,Paris,48.87871,2.37489,9
Opera,Paris,48.8779,2.33122,10
Gobelins,Paris,48.82296,2.34667,11
Hotel-de-Ville,Paris,48.85681,2.35678,12
Pantheon,Paris,48.83855,2.35064,13
Enclos-St-Laurent,Paris,48.87437,2.36208,14
Elysee,Paris,48.88074,2.32384,15
Popincourt,Paris,48.87064,2.37499,16
Batignolles-Monceau,Paris,48.88423,2.31339,17
Popincourt,Paris,48.85434,2.37293,18
Enclos-St-Laurent,Paris,48.8734,2.36972,19
Gobelins,Paris,48.83767,2.35554,20
Batignolles-Monceau,Paris,48.88389,2.29211,21
Opera,Paris,48.87842,2.33371,22
Opera,Paris,48.87833,2.33197,23
Luxembourg,Paris,48.84477,2.32525,24
Temple,Paris,48.86875,2.35471,25
Reuilly,Paris,48.84614,2.40083,26
Batignolles-Monceau,Paris,48.88501,2.31808,27
Enclos-St-Laurent,Paris,48.87511,2.35627,28
Buttes-Montmartre,Paris,48.8956,2.33987,29
Buttes-Montmartre,Paris,48.88575,2.34633,30
Vaugirard,Paris,48.85022,2.29148,31
Luxembourg,Paris,48.84695,2.3188,32
Temple,Paris,48.86716,2.36302,33
Gobelins,Paris,48.83537,2.34676,34
Pantheon,Paris,48.85115,2.34428,35
Vaugirard,Paris,48.83777,2.29152,36
Opera,Paris,48.88261,2.3312,37
Pantheon,Paris,48.83985,2.34274,38
Passy,Paris,48.84116,2.26235,39
Popincourt,Paris,48.86215,2.36991,40
Popincourt,Paris,48.86359,2.36988,41
Menilmontant,Paris,48.87197,2.40102,42
Enclos-St-Laurent,Paris,48.88211,2.35177,43
Buttes-Montmartre,Paris,48.89374,2.33416,44
Popincourt,Paris,48.86314,2.3789,45
Batignolles-Monceau,Paris,48.8896,2.32046,46
Pantheon,Paris,48.84011,2.35212,47
Popincourt,Paris,48.8582,2.38306,48
Vaugirard,Paris,48.84339,2.28348,49
Menilmontant,Paris,48.85899,2.39228,50
Buttes-Montmartre,Paris,48.8823,2.33789,51
Buttes-Montmartre,Paris,48.88328,2.34106,52
Observatoire,Paris,48.83106,2.33218,53
Popincourt,Paris,48.86849,2.37181,54
Enclos-St-Laurent,Paris,48.87478,2.35681,55
Enclos-St-Laurent,Paris,48.8723,2.37481,56
Buttes-Montmartre,Paris,48.89049,2.33268,57
Menilmontant,Paris,48.85697,2.39986,58
Buttes-Chaumont,Paris,48.87395,2.38474,59
Popincourt,Paris,48.85435,2.38653,60
Buttes-Montmartre,Paris,48.89408,2.34878,61
Popincourt,Paris,48.86688,2.38302,62
Reuilly,Paris,48.84998,2.38029,63
Opera,Paris,48.87849,2.34333,64
Popincourt,Paris,48.85435,2.37804,65
Enclos-St-Laurent,Paris,48.87838,2.35099,66
Menilmontant,Paris,48.87447,2.38701,67
Popincourt,Paris,48.8636,2.37288,68
Batignolles-Monceau,Paris,48.87671,2.28885,69
Batignolles-Monceau,Paris,48.88656,2.31711,70
Palais-Bourbon,Paris,48.85994,2.32425,71
Enclos-St-Laurent,Paris,48.87133,2.352,72
Batignolles-Monceau,Paris,48.89002,2.32339,73
Reuilly,Paris,48.84341,2.40503,74
Buttes-Montmartre,Paris,48.89044,2.33198,75
Buttes-Montmartre,Paris,48.89062,2.33534,76
Buttes-Montmartre,Paris,48.89162,2.34764,77
Buttes-Montmartre,Paris,48.88767,2.35197,78
Menilmontant,Paris,48.8669,2.3954,79
Bourse,Paris,48.86993,2.35043,80
Enclos-St-Laurent,Paris,48.87139,2.35346,81
Temple,Paris,48.8626,2.36426,82
Enclos-St-Laurent,Paris,48.87932,2.35416,83
Enclos-St-Laurent,Paris,48.87846,2.3564,84
Buttes-Montmartre,Paris,48.89325,2.33132,85
Opera,Paris,48.87509,2.33326,86
Passy,Paris,48.84839,2.273,87
Popincourt,Paris,48.85679,2.38678,88
Opera,Paris,48.88028,2.34297,89
Enclos-St-Laurent,Paris,48.87368,2.35276,90
Enclos-St-Laurent,Paris,48.87337,2.36006,91
Buttes-Montmartre,Paris,48.89608,2.34888,92
Gobelins,Paris,48.82516,2.35102,93
Observatoire,Paris,48.82502,2.334,94
Buttes-Montmartre,Paris,48.89131,2.32705,95
Vaugirard,Paris,48.83675,2.29896,96
Buttes-Montmartre,Paris,48.88639,2.33891,97
Popincourt,Paris,48.86327,2.38427,98
Popincourt,Paris,48.85936,2.38572,99
Louvre,Paris,48.86064,2.34266,100
Buttes-Montmartre,Paris,48.88841,2.34944,101
Menilmontant,Paris,48.86436,2.39678,102
Opera,Paris,48.87647,2.33309,103
Popincourt,Paris,48.86802,2.38148,104
Observatoire,Paris,48.83541,2.32517,105
Buttes-Montmartre,Paris,48.88649,2.34737,106
Vaugirard,Paris,48.8456,2.30045,107
Batignolles-Monceau,Paris,48.87894,2.28685,108
Louvre,Paris,48.85584,2.34308,109
Reuilly,Paris,48.84628,2.38534,110
Menilmontant,Paris,48.87283,2.38839,111
Buttes-Montmartre,Paris,48.88963,2.36267,112
Buttes-Montmartre,Paris,48.88983,2.36057,113
Enclos-St-Laurent,Paris,48.87223,2.37009,114
Palais-Bourbon,Paris,48.85528,2.30594,115
Buttes-Montmartre,Paris,48.88948,2.32726,116
Batignolles-Monceau,Paris,48.87843,2.28413,117
Buttes-Montmartre,Paris,48.89123,2.34186,118
