listing_id,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,instant_bookable,property_id
281420,Entire apartment,Entire place,2,1,"[""Heating"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",53,2,1125,0,1
3705183,Entire apartment,Entire place,2,1,"[""Shampoo"", ""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Wifi"", ""Long term stays allowed""]",120,2,1125,0,2
4082273,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",89,2,1125,0,3
4797344,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Wifi"", ""Long term stays allowed""]",58,2,1125,0,4
4823489,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Bathtub"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]",60,2,1125,0,5
4898654,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",95,2,1125,0,6
6021700,Entire apartment,Entire place,2,1,"[""Shampoo"", ""TV"", ""Kitchen"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Fire extinguisher"", ""Long term stays allowed""]",80,2,1125,0,7
6945740,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",59,2,1125,0,8
7491966,Entire apartment,Entire place,2,1,"[""Paid parking off premises"", ""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated_workspace"", ""Host greets you"", ""Cable TV""]",80,2,1125,0,9
7849932,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated_workspace"", ""Cable TV""]",90,2,1125,0,10
7995091,Entire apartment,Entire place,2,1,"[""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",60,2,1125,0,11
9011901,Entire apartment,Entire place,2,1,"[""Shampoo"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",80,2,1125,0,12
9880847,Entire apartment,Entire place,2,1,"[""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated_workspace""]",61,2,1125,0,13
9898855,Entire apartment,Entire place,2,1,"[""Dishwasher"", ""Essentials"", ""Stove"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated_workspace"", ""TV"", ""Iron"", ""Dryer"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Coffee maker"", ""Washer"", ""Cooking basics"", ""Paid parking off premises"", ""Garden or backyard"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cleaning before checkout"", ""Elevator""]",145,2,1125,0,14
10266213,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",35,2,1125,0,15
11643413,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated_workspace""]",39,2,1125,0,16
11764434,Entire apartment,Entire place,2,1,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",55,2,1125,0,17
